,lat,long,class,text,time,scale
1150,41.049898,-80.711161,D,4,4,4.0
1151,41.089056,-81.907176,D,1,1,2.0
1152,41.089139,-96.014224,D,1,1,2.0
1153,41.094742,-73.388984,D,1,1,2.0
1154,41.095834,-71.907259,D,1,1,2.0
1155,41.099998,-74.084517,D,1,1,2.0
1156,41.100326,-74.06664,D,1,1,2.0
1157,41.117165,-81.573215,D,4,4,4.0
1158,41.11766,-81.392451,D,1,1,2.0
1159,41.120546,-73.867804,D,1,1,2.0
1160,41.133286,-80.617513,D,1,1,2.0
1161,41.13365,-80.719166,D,1,1,2.0
1162,41.135566,-81.491087,D,1,1,2.0
1163,41.136627,-73.876223,D,1,1,2.0
1164,41.141738,-73.244348,D,3,3,3.4641016151377544
1165,41.170739,-83.69297,D,1,1,2.0
1166,41.175884,-96.234587,D,5,5,4.47213595499958
1167,41.177945,-79.400677,D,1,1,2.0
1168,41.187054,-73.508143,D,13,13,7.211102550927978
1169,41.213764,-73.747234,D,2,2,2.8284271247461903
1170,41.214442,-80.519115,D,1,1,2.0
1171,41.215416,-75.924804,D,1,1,2.0
1172,41.220627,-77.144673,D,1,1,2.0
1173,41.242076,-72.900573,D,1,1,2.0
1174,41.246404,-72.998069,D,6,6,4.898979485566356
1175,41.248445,-72.864342,D,1,1,2.0
1176,41.248625,-105.697156,D,3,3,3.4641016151377544
1177,41.255518,-73.204315,D,1,1,2.0
1178,41.260672,-72.398542,D,1,1,2.0
1179,41.275311,-81.883223,D,1,1,2.0
1180,41.277886,-72.33355,D,1,1,2.0
1181,41.287315,-88.179137,D,1,1,2.0
1182,41.301567,-74.928015,D,1,1,2.0
1183,41.310356,-73.445754,D,1,1,2.0
1184,41.317048,2.052477,D,1,1,2.0
1185,41.327184,-72.968693,D,1,1,2.0
1186,41.332539,-72.907963,D,2,2,2.8284271247461903
1187,41.336062,2.086323,D,1,1,2.0
1188,41.348047,-83.690916,D,1,1,2.0
1189,41.348826,-75.760287,D,1,1,2.0
1190,41.350358,-81.785053,D,1,1,2.0
1191,41.350966,-81.685431,D,1,1,2.0
1192,41.362501,-84.160563,D,1,1,2.0
1193,41.3696845,-81.7406714,D,1,1,2.0
1194,41.37066,-81.784858,D,2,2,2.8284271247461903
1195,41.375218,-81.970835,D,1,1,2.0
1196,41.382809,-74.194797,D,1,1,2.0
1197,41.392684,-81.877771,D,9,9,6.0
1198,41.396625,-72.88753,D,2,2,2.8284271247461903
1199,41.401283,-82.665143,D,1,1,2.0
1200,41.409372,-82.78773,D,1,1,2.0
1201,41.415364,-78.760554,D,1,1,2.0
1202,41.421284,-72.233951,D,2,2,2.8284271247461903
1203,41.444387,-88.294633,D,1,1,2.0
1204,41.451004,-71.346338,D,1,1,2.0
1205,41.459541,-73.01821,D,2,2,2.8284271247461903
1206,41.463245,-81.8375,D,5,5,4.47213595499958
1207,41.465177,-88.025768,D,1,1,2.0
1208,41.475836,-90.69214,D,1,1,2.0
1209,41.479115,-71.310847,D,2,2,2.8284271247461903
1210,41.482005,-71.392369,D,1,1,2.0
1211,41.482742,-81.603358,D,2,2,2.8284271247461903
1212,41.49231,-73.474064,D,1,1,2.0
1213,41.495568,-72.859208,D,2,2,2.8284271247461903
1214,41.50007,-71.553828,D,1,1,2.0
1215,41.501345,-81.54638,D,1,1,2.0
1216,41.501409,-93.709504,D,7,7,5.291502622129181
1217,41.503982,-87.714621,D,1,1,2.0
1218,41.513971,-73.093845,D,1,1,2.0
1219,41.515054,-70.687501,D,1,1,2.0
1220,41.515406,-81.598231,D,1,1,2.0
1221,41.519514,-90.533035,D,1,1,2.0
1222,41.520668,-87.124267,D,1,1,2.0
1223,41.52128,-87.153154,D,1,1,2.0
1224,41.521967,-87.433258,D,1,1,2.0
1225,41.522565,-87.525598,D,3,3,3.4641016151377544
1226,41.522911,-87.481092,D,3,3,3.4641016151377544
1227,41.527192,-83.718691,D,2,2,2.8284271247461903
1228,41.528008,-93.846184,D,2,2,2.8284271247461903
1229,41.544766,-72.944738,D,1,1,2.0
1230,41.549739,-87.713706,D,1,1,2.0
1231,41.559506,-109.282237,D,1,1,2.0
1232,41.563058,-73.76516,D,1,1,2.0
1233,41.567638,87.749664,D,1,1,2.0
1234,41.580375,-83.694776,D,2,2,2.8284271247461903
1235,41.582498,-70.53973,D,1,1,2.0
1236,41.588179,-81.488988,D,1,1,2.0
1237,41.595978,-71.216165,D,1,1,2.0
1238,41.596067,-88.487963,D,1,1,2.0
1239,41.598756,-86.385306,D,4,4,4.0
1240,41.599181,-91.611057,D,5,5,4.47213595499958
1241,41.599797,-70.467597,D,1,1,2.0
1242,41.606385,-87.633948,D,1,1,2.0
1243,41.614643,-93.814689,D,1,1,2.0
1244,41.621439,-86.216235,D,1,1,2.0
1245,41.629501,-71.518925,D,1,1,2.0
1246,41.6349474,-91.49734436,D,1,1,2.0
1247,41.636864,-70.230497,D,1,1,2.0
1248,41.640241,-81.391672,D,2,2,2.8284271247461903
1249,41.644102,-87.940033,D,134,134,23.15167380558045
1250,41.649515,-71.671381,D,1,1,2.0
1251,41.655874,12.234427,D,1,1,2.0
1252,41.661662,-71.534441,D,2,2,2.8284271247461903
1253,41.669084,-73.94318,D,1,1,2.0
1254,41.676329,-141.561094,D,3,3,3.4641016151377544
1255,41.676329,-95.155898,D,1,1,2.0
1256,41.676525,-82.500115,D,1,1,2.0
1257,41.696088,-90.418108,D,14,14,7.483314773547883
1258,41.70037,-88.35075,D,1,1,2.0
1259,41.708607,-86.259937,D,1,1,2.0
1260,41.709039,-86.217544,D,2,2,2.8284271247461903
